code,original_category,assigned_category
AVD-AWS-0134,Hard-coded secret,Hard-coded secret
AVD-AWS-0098,Encryption at Rest,Encryption at Rest
AVD-AWS-0109,Encryption at Rest,Encryption at Rest
AVD-AWS-0053,Access Policy,IP Address binding
AVD-AWS-0052,Access Policy,Access Policy
AVD-AWS-0054,Encryption in Transit,Encryption in Transit
AVD-AWS-0047,Outdated feature,Outdated feature
AVD-AWS-0023,Encryption at Rest,Encryption at Rest
AVD-AWS-0025,Encryption at Rest,Encryption at Rest
AVD-AWS-0006,Encryption at Rest,Encryption at Rest
AVD-AWS-0007,Encryption at Rest,Encryption at Rest
AVD-AWS-0017,Encryption at Rest,Encryption at Rest
AVD-AWS-0066,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0067,Access Policy,Access Policy
AVD-AWS-0045,Encryption at Rest,Encryption at Rest
AVD-AWS-0051,Encryption in Transit,Encryption in Transit
AVD-AWS-0034,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0035,Encryption in Transit,Encryption in Transit
AVD-AWS-0036,Hard-coded secret,Hard-coded secret
AVD-AWS-0064,Encryption at Rest,Encryption in Transit
AVD-AWS-0095,Encryption at Rest,Encryption at Rest
AVD-AWS-0136,Encryption at Rest,Encryption at Rest
AVD-AWS-0101,Access Policy,Access Policy
AVD-AWS-0102,IP Address binding,Access Policy
AVD-AWS-0104,IP Address binding,IP Address binding
AVD-AWS-0105,IP Address binding,IP Address binding
AVD-AWS-0104,IP Address binding,IP Address binding
AVD-AWS-0020,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0021,Encryption at Rest,Encryption at Rest
AVD-AWS-0022,Encryption at Rest,Encryption at Rest
AVD-AWS-0014,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0015,Encryption at Rest,Encryption at Rest
AVD-AWS-0016,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0162,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0161,Access Policy,Access Policy
AVD-AWS-0163,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0070,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0071,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0072,Access Policy,Access Policy
AVD-AWS-0032,Access Policy,Access Policy
AVD-AWS-0033,Encryption at Rest,Encryption at Rest
AVD-AWS-0086,Access Policy,Access Policy
AVD-AWS-0087,Access Policy,Access Policy
AVD-AWS-0088,Encryption at Rest,Encryption at Rest
AVD-AWS-0089,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0132,Encryption at Rest,Encryption at Rest
AVD-AWS-0091,Access Policy,Access Policy
AVD-AWS-0092,Access Policy,Access Policy
AVD-AWS-0093,Access Policy,Access Policy
AVD-AWS-0094,Access Policy,Access Policy
AVD-AWS-0010,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0012,Encryption in Transit,Encryption in Transit
AVD-AWS-0013,Outdated feature,Encryption in Transit
AVD-AWS-0001,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0003,Logging/Monitoring,Logging/Monitoring
AVD-AWS-0004,Access Policy,Access Policy
AVD-AWS-0005,Outdated feature,Encryption in Transit
AVD-AWS-0008,Encryption at Rest,Encryption at Rest
AVD-AWS-0130,Outdated feature,Access Policy
AVD-AWS-0009,IP Address binding,IP Address binding
AVD-AWS-0129,Hard-coded secret,Hard-coded secret
AVD-AWS-0122,Encryption at Rest,Encryption at Rest
AVD-AWS-0073,Encryption in Transit,Encryption in Transit
AVD-AWS-0074,Logging/Monitoring,Logging/Monitoring
